Lydia Skoblikova, URS, 1960, 2, Lydia Skoblikova, URS, 1964, 4
Karin Enke, GDR, 1980, 1, Karin Enke, GDR, 1984, 2
Christa Rothenburger, GDR, 1984, 1, Christa Rothenburger, GDR, 1988, 1
Bonnie Blair, USA, 1988, 1, Bonnie Blair, USA, 1992, 2
Gunda Nieman, GDR, 1992, 2, Bonnie Blair, USA, 1994, 2
Claudia Pechstein, GER, 1994, 1, Gunda Nieman, GDR, 1998, 1
Claudia Pechstein, GER, 1998, 1, Catriona LeMay, CAN, 1998, 1
Claudia Pechstein, GER, 2002, 2, Catriona LeMay, CAN, 2002, 1
